token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
16-9	BOI069	16	bologna	bologna	bolognare	VERB	_
17-0	BOR019	17	[s~]	s~	s~	PROPN	Interrupted=Yes
18-0	BOR019	18	sì	sì	sì	ADV	_
18-1	BOR019	18	sì	sì	sì	INTJ	_
18-2	BOR019	18	sì	sì	sì	INTJ	_
18-3	BOR019	18	{prende_fiato}	{prende_fiato}	_	_	_
18-4	BOR019	18	e:	e	e	CCONJ	_
18-5	BOR019	18	che	che	che	SCONJ	_
18-6	BOR019	18	scuole?	scuole	scuola	NOUN	Intonation=rising
19-0	BOI069	19	e:h	eh	eh	INTJ	_
19-1	BOI069	19	il	il	il	DET	_
19-2	BOI069	19	belluzzi	belluzzi	belluzzo	NOUN	_
19-3	BOI069	19	{P}	{P}	_	_	_
19-4	BOI069	19	è	è	essere	AUX	_
19-5	BOI069	19	un	un	uno	DET	_
19-6	BOI069	19	istituto	istituto	istituto	NOUN	_
19-7	BOI069	19	tecnico	tecnico	tecnico	ADJ	_
20-0	BOR019	20	okay	okay	okay	NOUN	_
20-1	BOR019	20	istituto	istituto	istituto	NOUN	_
20-2	BOR019	20	tecnico,	tecnico	tecnico	ADJ	Intonation=weakly_rising
21-0	BOR019	21	e:hm	ehm	ehm	NOUN	_
21-1	BOR019	21	bene	bene	bene	ADV	_
21-2	BOR019	21	e	e	e	CCONJ	_
22-0	BOR019	22	adesso	adesso	adesso	ADV	_
22-1	BOR019	22	frequenti:	frequenti	frequente	ADJ	_
22-2	BOR019	22	bologna?	bologna	bolognare	VERB	Intonation=rising
22-3	BOR019	22	oppure:	oppure	oppure	CCONJ	_
22-4	BOR019	22	stai	stai	stare	VERB	_
22-5	BOR019	22	più	più	più	ADV	_
22-6	BOR019	22	che	che	che	ADP	_
22-7	BOR019	22	altro	altro	altro	PRON	_
22-8	BOR019	22	in	in	in	ADP	_
22-9	BOR019	22	provin[cia]	provincia	provincia	NOUN	_
23-0	BOI069	23	[no]	no	no	ADV	_
23-1	BOI069	23	sono	sono	essere	AUX	_
23-2	BOI069	23	molto	molto	molto	ADV	_
23-3	BOI069	23	spesso	spesso	spesso	ADV	_
23-4	BOI069	23	in	in	in	ADP	_
23-5	BOI069	23	provincia	provincia	provincia	NOUN	_
23-6	BOI069	23	in	in	in	ADP	_
23-7	BOI069	23	centro	centro	centro	NOUN	_
23-8	BOI069	23	a	a	a	ADP	_
23-9	BOI069	23	bologna	bologna	bologna	NOUN	_
23-10	BOI069	23	non	non	non	ADV	_
23-11	BOI069	23	ci	ci	ci	PRON	_
23-12	BOI069	23	vado	vado	andare	VERB	_
23-13	BOI069	23	in	in	in	ADP	_
23-14	BOI069	23	realtà	realtà	realtà	NOUN	_
23-15	BOI069	23	quasi	quasi	quasi	ADV	_
23-16	BOI069	23	mai	mai	mai	ADV	_
24-0	BOR019	24	>ah	ah	ah	INTJ	_
24-1	BOR019	24	okay<	okay	okay	NOUN	_
24-2	BOR019	24	neanche	neanche	neanche	ADV	_
24-3	BOR019	24	per	per	per	ADP	_
24-4	BOR019	24	lavoro?	lavoro	lavoro	NOUN	Intonation=rising
25-0	BOI069	25	m:h	mh	mh	INTJ	_
25-1	BOI069	25	poche	poche	poco	DET	_
25-2	BOI069	25	volte	volte	volta	NOUN	_
26-0	BOR019	26	°[okay]°	okay	okay	NOUN	Volume=low
27-0	BOI069	27	[(>tutti	tutti	tutto	DET	_
27-1	BOI069	27	i<)	i	il	DET	_
